,(Percent * Avg Return)/(Contract * Day),Strike Date,Call Strike,Call Bid Price,Call Size,Put Strike,Put Bid Price,Put Size,Percent Chance In Money
0,0.6592051201368231,2020-02-21,70.0,47.45,0.0,120.0,5.65,3.0,65.30120481927712
1,0.4289454872634956,2020-02-21,70.0,47.45,0.0,115.0,3.2,3.0,75.02008032128515
2,0.34431060713302486,2020-02-21,70.0,47.45,0.0,110.0,1.78,3.0,85.94377510040161
3,0.06391019496537205,2020-02-21,70.0,47.45,0.0,105.0,0.99,3.0,92.38955823293173
4,1.135619788386131,2020-03-20,65.0,52.55,0.0,120.0,6.3,3.0,68.0241935483871
5,0.5557688953436536,2020-03-20,170.0,0.0,1.0,120.0,6.3,3.0,66.69354838709678
6,0.5557688953436536,2020-03-20,160.0,0.0,1.0,120.0,6.3,3.0,66.69354838709678
7,0.5557688953436536,2020-03-20,165.0,0.0,1.0,120.0,6.3,3.0,66.69354838709678
8,0.5555658819346068,2020-03-20,155.0,0.0,1.0,120.0,6.3,3.0,66.69354838709678
9,0.5508581319781499,2020-03-20,150.0,0.0,1.0,120.0,6.3,3.0,66.67338709677419
10,0.5167750284221846,2020-03-20,145.0,0.0,1.0,120.0,6.3,3.0,66.53225806451613
11,0.4406900891116755,2020-03-20,140.0,0.07,1.0,120.0,6.3,3.0,65.68548387096774
12,0.3583989000587069,2020-03-20,160.0,0.0,2.0,120.0,6.3,3.0,66.25
13,0.3583989000587069,2020-03-20,170.0,0.0,2.0,120.0,6.3,3.0,66.25
14,0.9296540859017683,2020-03-20,65.0,52.55,0.0,115.0,3.9,3.0,77.45967741935483
15,0.4012946184803807,2020-03-20,170.0,0.0,1.0,115.0,3.9,3.0,76.35080645161291
16,0.4012946184803807,2020-03-20,165.0,0.0,1.0,115.0,3.9,3.0,76.35080645161291
17,0.4012946184803807,2020-03-20,160.0,0.0,1.0,115.0,3.9,3.0,76.35080645161291
18,0.40109160507133385,2020-03-20,155.0,0.0,1.0,115.0,3.9,3.0,76.35080645161291
19,0.396383855114877,2020-03-20,150.0,0.0,1.0,115.0,3.9,3.0,76.29032258064517
20,0.36230075155891167,2020-03-20,145.0,0.0,1.0,115.0,3.9,3.0,75.9475806451613
21,0.23481947856808869,2020-03-20,165.0,0.0,2.0,115.0,3.9,3.0,76.00806451612904
22,0.23481947856808869,2020-03-20,170.0,0.0,2.0,115.0,3.9,3.0,76.00806451612904
23,0.23481947856808869,2020-03-20,160.0,0.0,2.0,115.0,3.9,3.0,76.00806451612904
24,0.747900010808421,2020-03-20,65.0,52.55,0.0,110.0,2.39,3.0,86.45161290322581
25,0.3681912410527607,2020-03-20,65.0,52.55,0.0,105.0,1.44,3.0,92.66129032258064
26,0.26497906216036926,2020-03-20,170.0,0.0,1.0,110.0,2.39,3.0,85.76612903225806
27,0.26497906216036926,2020-03-20,165.0,0.0,1.0,110.0,2.39,3.0,85.76612903225806
28,0.26497906216036926,2020-03-20,160.0,0.0,1.0,110.0,2.39,3.0,85.76612903225806
29,0.2647760487513224,2020-03-20,155.0,0.0,1.0,110.0,2.39,3.0,85.76612903225806
30,0.2600682987948655,2020-03-20,150.0,0.0,1.0,110.0,2.39,3.0,85.68548387096774
31,0.22598519523890018,2020-03-20,145.0,0.0,1.0,110.0,2.39,3.0,85.06048387096774
32,0.12576703351207855,2020-03-20,170.0,0.0,2.0,110.0,2.39,3.0,85.54435483870968
33,0.12576703351207855,2020-03-20,165.0,0.0,2.0,110.0,2.39,3.0,85.54435483870968
34,2.337847551331277,2020-05-15,75.0,40.55,0.0,130.0,14.35,3.0,67.76422764227642
35,2.1947722999148853,2020-05-15,75.0,40.55,0.0,125.0,10.85,3.0,70.8739837398374
36,1.442631546167121,2020-05-15,145.0,0.04,1.0,130.0,14.35,3.0,67.07317073170732
37,1.3353251076048274,2020-05-15,145.0,0.04,1.0,125.0,10.85,3.0,69.95934959349593
38,1.3218644803393926,2020-05-15,140.0,0.21,1.0,130.0,14.35,3.0,66.46341463414635
39,1.2145580417770991,2020-05-15,140.0,0.21,1.0,125.0,10.85,3.0,68.57723577235772
40,1.1804694750426177,2020-05-15,145.0,0.04,1.0,120.0,8.0,3.0,73.78048780487805
