,(Percent * Avg Return)/(Contract * Day),Strike Date,Call Strike,Call Bid Price,Call Size,Put Strike,Put Bid Price,Put Size,Percent Chance In Money
0,0.24201069033262548,2020-04-17,22.0,15.15,0.0,39.0,3.0,3.0,65.04048582995952
1,0.152423050508549,2020-04-17,22.0,15.15,0.0,38.0,2.35,3.0,67.85425101214575
2,0.07106535424597137,2020-04-17,22.0,15.15,0.0,37.0,1.8,3.0,71.25506072874494
3,0.0016855005090244464,2020-04-17,22.0,15.15,0.0,36.0,1.35,3.0,74.08906882591093
4,0.41481039686274496,2020-06-19,20.0,17.15,0.0,40.0,4.4,3.0,65.3932584269663
5,0.32934990813988313,2020-06-19,20.0,17.15,0.0,39.0,3.65,3.0,67.00715015321757
6,0.26490535188912934,2020-06-19,20.0,17.15,0.0,38.0,3.0,3.0,69.11133810010215
7,0.21384800186450822,2020-06-19,20.0,17.15,0.0,37.0,2.45,3.0,71.39938712972422
8,0.15668904290634122,2020-06-19,20.0,17.15,0.0,36.0,1.97,3.0,73.56486210418794
9,0.09532739543660709,2020-06-19,20.0,17.15,1.0,41.0,5.2,3.0,66.74157303370787
10,0.09288492837830536,2020-06-19,21.0,16.15,1.0,41.0,5.2,3.0,66.74157303370787
11,0.08963138383989556,2020-06-19,22.0,15.15,1.0,41.0,5.2,3.0,66.74157303370787
12,0.08649252686214062,2020-06-19,60.0,0.0,1.0,39.0,3.65,3.0,65.10725229826353
13,0.08444069321284062,2020-06-19,23.0,14.15,1.0,41.0,5.2,3.0,66.72114402451481
14,0.09510820509982398,2020-06-19,20.0,17.15,0.0,35.0,1.55,3.0,76.54749744637385
15,0.059596855192628466,2020-06-19,20.0,17.15,0.0,34.0,1.22,3.0,79.81613891726252
16,0.025595763517953694,2020-06-19,20.0,17.15,0.0,33.0,0.94,3.0,82.61491317671093
17,0.017012827063611728,2020-06-19,20.0,17.15,0.0,32.0,0.74,3.0,85.74055158324822
18,0.0017504432149177867,2020-06-19,20.0,17.15,0.0,31.0,0.57,3.0,87.96731358529112
19,0.38325076719082446,2020-07-17,22.0,15.15,0.0,40.0,4.45,3.0,65.08717948717948
20,0.33172894200397446,2020-07-17,22.0,15.15,0.0,39.0,3.75,3.0,66.83076923076922
21,0.26943646215385525,2020-07-17,22.0,15.15,0.0,38.0,3.1,3.0,68.9025641025641
